p0,p1
300|0,-300|-37.4856
-300|0,300|-40.1036
300|0,-300|-42.7216
-300|0,300|-45.3396
300|0,-300|-47.9576
-300|0,300|-50.5756
300|0,-300|-53.1936
-300|0,300|-55.8116
300|0,-300|-58.4296
-300|0,300|-61.0476
300|0,-300|-63.6657
-300|0,300|-66.2837
300|0,-300|-68.9017
-300|0,300|-71.5197
300|0,-300|-74.1377
-300|0,300|-76.7557
300|0,-300|-79.3737
-300|0,300|-81.9917
300|0,-300|-84.6097
-300|0,300|-87.2278
300|0,-300|-89.8458
-300|0,300|-92.4638
300|0,-300|-95.0818
-300|0,300|-97.6998
300|0,-300|-100.318
-300|0,300|-102.936
300|0,-300|-105.554
-300|0,300|-108.172
300|0,-300|-110.79
-300|0,300|-113.408
300|0,-300|-116.026
-300|0,300|-118.644
300|0,-300|-121.262
-300|0,300|-123.88
300|0,-300|-126.498
-300|0,300|-129.116
300|0,-300|-131.734
-300|0,300|-134.352
300|0,-300|-136.97
-300|0,300|-139.588
300|0,-300|-142.206
-300|0,300|-144.824
300|0,-300|-147.442
-300|0,300|-150.06
300|0,-300|-152.678
-300|0,300|-155.296
300|0,-300|-157.914
-300|0,300|-160.532
300|0,-300|-163.15
-300|0,300|-165.768
300|0,-300|-168.386
-300|0,300|-171.004
300|0,-300|-173.622
-300|0,300|-176.24
300|0,-300|-178.858
-300|0,300|-181.476
300|0,-300|-184.094
-300|0,300|-186.712
300|0,-300|-189.33
-300|0,300|-191.948
300|0,-300|-194.566
-300|0,300|-197.184
300|0,-300|-199.802
-300|0,300|-202.42
300|0,-300|-205.038
-300|0,300|-207.656
300|0,-300|-210.274
-300|0,300|-212.892
300|0,-300|-215.51
-300|0,300|-218.128
300|0,-300|-220.746
-300|0,300|-223.364
300|0,-300|-225.982
-300|0,300|-228.6
300|0,-300|-231.218
-300|0,300|-233.836
300|0,-300|-236.454
-300|0,300|-239.072
300|0,-300|-241.69
-300|0,300|-244.308
300|0,-300|-246.926
-300|0,300|-249.544
300|0,-300|-252.162
-300|0,300|-254.78
300|0,-300|-257.398
-300|0,300|-260.016
300|0,-300|-262.634
-300|0,300|-265.252
300|0,-300|-267.87
-300|0,300|-270.488
300|0,-300|-273.106
-300|0,300|-275.725
300|0,-300|-278.343
-300|0,300|-280.961
300|0,-300|-283.579
-300|0,300|-286.197
300|0,-300|-288.815
-300|0,300|-291.433
300|0,-300|-294.051
-300|0,300|-296.669
300|0,-300|-299.287
-300|0,-136.503|-300
300|0,300|-298.095
-300|0,-300|-295.477
300|0,300|-292.859
-300|0,-300|-290.241
300|0,300|-287.623
-300|0,-300|-285.005
300|0,300|-282.387
-300|0,-300|-279.769
300|0,300|-277.151
-300|0,-300|-274.533
300|0,300|-271.915
-300|0,-300|-269.297
300|0,300|-266.679
-300|0,-300|-264.061
300|0,300|-261.443
-300|0,-300|-258.825
300|0,300|-256.207
-300|0,-300|-253.589
300|0,300|-250.971
-300|0,-300|-248.353
300|0,300|-245.735
-300|0,-300|-243.117
300|0,300|-240.499
-300|0,-300|-237.881
300|0,300|-235.263
-300|0,-300|-232.645
300|0,300|-230.027
-300|0,-300|-227.409
300|0,300|-224.791
-300|0,-300|-222.173
300|0,300|-219.555
