p0,p1
379.082|89.0478,306.024|-169.584
242.148|195.508,106.151|200
-395.532|42.0392,106.151|200
-83.4923|-200,106.151|200
-83.4923|-200,-110.171|-200
-83.4923|-200,-309.014|167.678
347.907|134.623,-25.3115|-200
33.8555|-200,-25.3115|-200
-310.379|166.783,-25.3115|-200
-148.528|-200,272.757|186.297
27.9817|200,239.222|-196.116
204.469|-199.95,31.866|200
338.378|144.4,-177.523|-200
-332.395|-149.905,-350.918|131.239
-228.763|197.921,358.428|-122.068
30.9196|-200,137.709|200
280.826|182.94,-136.417|-200
181.471|-200,-357.742|122.953
77.6889|200,345.593|-137.123
-26.0928|-200,197.428|200
-129.875|200,21.629|-200
-232.947|-197.268,-154.17|200
-202.248|199.987,-314.224|-164.173
-162.275|-200,61.9844|200
-122.301|200,372.735|-100.81
-82.3262|-200,-362.539|116.537
-42.352|200,-139.344|-200
-2.37766|-200,142.703|200
37.5966|200,364.22|-114.157
77.5709|-200,-381.978|82.9709
117.545|200,34.0548|-200
157.52|-200,394.789|45.3587
197.494|200,-334.59|147.937
237.121|-196.525,-320.651|-159.51
125.769|200,399.777|9.43189
13.4415|-200,-364.338|113.986
-98.8861|200,-195.271|-200
-211.127|-199.69,20.1119|200
-274.286|185.692,233.933|-197.1
-11.1809|-200,291.718|177.73
-11.1809|-200,-97.0931|-200
-11.1809|-200,-383.895|78.6287
256.189|191.945,393.72|49.725
267.256|-188.352,-23.193|-200
-32.1838|200,-398.459|24.7791
-313.413|-164.734,186.063|200
-90.2741|200,186.063|200
154.44|-200,186.063|200
354.497|127.006,320.332|159.75
-349.106|-133.295,395.329|42.9715
-181.395|200,376.266|-94.5
19.8815|-200,272.323|-186.465
19.8815|-200,-246.209|-194.589
19.8815|-200,-333.49|-148.931
220.621|198.934,-388.391|-67.1476
316.617|-162.482,-397.595|30.9235
-227.382|198.117,-358.869|121.494
-399.986|-2.39292,-281.607|182.593
-222.634|-198.715,-181.098|200
305.543|169.884,370.551|104.463
250.503|-193.518,281.709|-182.548
-55.4599|200,-364.92|113.143
-55.4599|200,-44.3703|-200
-55.4599|200,322.329|158.227
-329.478|-152.432,117.607|-200
-2.83811|200,-110.988|200
326.272|-155.098,-317.696|-161.703
73.2033|200,12.0159|200
-211.626|-199.662,331.606|-150.599
-374.849|97.0965,37.9548|200
346.491|136.164,-282.252|-182.304
307.526|-168.636,-224.531|198.49
-392.472|54.3567,-57.7566|-200
352.355|-129.568,109.65|200
211.846|199.649,271.522|-186.774
-17.9968|-200,136.858|200
-17.9968|-200,-2.41083|-200
-17.9968|-200,-141.68|200
-245.081|194.853,-275.759|-185.096
-270.784|-187.055,-93.5482|200
27.3349|200,95.7146|-200
310.022|-167.019,277.57|184.345
105.368|200,135.244|-200
105.368|200,-12.8795|200
105.368|200,-161.003|-200
-117.676|-200,-299.344|173.582
-318.88|160.834,5.84414|-200
27.0921|-200,307.174|168.86
347.92|134.609,130.764|-200
-74.2411|-200,-60.5379|200
-392.955|52.6158,-248.933|-193.921
329.107|152.746,-230.022|197.734
337.906|-144.852,-85.0161|-200
-379.455|-88.2941,60.8155|200
-191.543|200,206.607|-199.891
-191.543|200,312.941|165.058
-191.543|200,-163.148|-200
69.1798|-200,-399.087|-19.085
69.1798|-200,-204.846|199.941
69.1798|-200,186.048|-200
308.888|167.76,399.182|18.067
71.1886|-200,142.131|200
-187.349|200,-340.939|-141.902
-376.912|-93.2845,-102.428|200
365.046|-112.959,176.612|-200
235.164|196.884,378.736|89.7417
-134.879|-200,-365.127|112.841
-387.14|70.5586,-232.956|-197.266
339.858|142.968,125.409|200
316.182|-162.794,125.409|200
-398.711|22.6673,125.409|200
395.135|43.843,381.537|-83.9314
-157.786|-200,-390.371|-61.3084
-369.088|-106.814,-48.355|200
-362.698|116.315,363.737|-114.848
-139.08|200,-126.459|200
399.992|-1.7372,-126.459|200
-159.201|-200,-126.459|200
-349.917|-132.381,-398.388|25.3431
-391.645|57.2026,-190.242|-200
-252.827|192.897,179.231|200
397.041|34.274,396.813|-35.5592
42.444|-200,71.121|-200
-382.867|80.9926,-396.697|36.1993
366.742|-110.44,363.487|115.205
130.34|200,212.722|-199.595
130.34|200,-45.6388|200
130.34|200,-45.6388|200
-174.264|-200,-45.6388|200
-384.801|76.4749,-290.323|-178.442
304.845|170.316,-146.491|200
387.523|-69.5356,5.53461|-200
164.17|-200,157.56|200
-366.897|110.206,157.56|200
51.0199|-200,157.56|200
51.0199|-200,299.509|-173.487
51.0199|-200,-1.48808|200
392.683|53.6045,-301.536|-172.309
-355.677|125.557,-149.955|200
-254.044|-192.56,12.901|-200
198.698|200,175.757|200
198.698|200,321.777|-158.651
198.698|200,-151.844|200
398.162|27.05,-399.617|12.373
252.352|-193.027,-181.448|-200
-366.665|110.557,227.516|198.098
-9.30946|-200,385.2|-75.5059
-9.30946|-200,-58.2134|-200
-9.30946|-200,-364.282|-114.067
359.569|120.572,-343.105|139.717
-131.103|-200,213.057|199.573
-398.383|-25.377,279.798|183.391
-193.573|200,337.13|145.586
-193.573|200,378.294|90.6163
-193.573|200,398.436|24.962
169.926|-200,395.182|-43.6354
394.396|47.0114,368.915|-107.088
-13.7661|200,322.732|-157.914
-391.25|58.5105,262.078|-190.122
-207.422|-199.862,193.502|-200
124.37|200,-359.772|-120.303
373.244|-99.9324,-321.279|159.033
-397.583|30.9973,388.939|65.5902
382.715|-81.3341,130.521|-200
45.044|200,130.521|-200
-351.591|-130.461,130.521|-200
20.2046|200,-251.988|193.125
367.749|-108.905,-336.992|-145.716
-278.887|183.785,382.124|82.6499
-375.933|-95.1194,-84.5821|-200
44.1599|-200,-399.793|-9.09961
358.929|-121.414,-116.34|200
353.59|128.102,-116.34|200
2.27923|200,-116.34|200
-354.52|126.979,343.553|-139.258
-356.236|-124.861,77.0055|200
-12.9708|-200,-234.86|-196.939
361.45|-118.042,-344.347|138.434
336.933|145.772,388.339|-67.2949
-312.495|165.363,-220.009|198.997
-392.12|-55.5886,-380.526|86.0832
-206.814|-199.884,-367.218|-109.718
323.129|157.605,-192.655|-200
192.968|-200,376.375|94.2963
47.3761|200,-156.445|-200
-98.216|-200,-386.153|-73.1237
-98.216|-200,-306.469|169.306
-98.216|-200,383.863|78.705
-242.171|195.503,180.068|-200
-212.151|-199.631,-112.421|200
-132.216|200,-352.92|-128.901
-132.216|200,277.384|184.423
-132.216|200,371.158|-103.464
-52.2071|-200,-196.442|-200
27.8019|200,-269.308|-187.607
27.8019|200,-332.583|-149.739
27.8019|200,-377.834|-91.5149
107.811|-200,-398.91|-20.8499
187.82|200,-392.946|52.6496
187.82|200,-360.751|118.992
187.82|200,-306.704|169.158
265.615|-188.93,-238.151|196.328
67.5069|200,216.808|199.293
67.5069|200,252.468|192.995
67.5069|200,286.408|180.371
-136.24|-200,317.515|161.834
-136.24|-200,344.77|137.991
-136.24|-200,367.279|109.625
-319.719|160.21,384.305|77.6647
60.4721|-200,395.288|43.1586
374.572|97.5933,399.869|7.23762
-372.087|-101.912,397.898|-28.9206
-83.6685|200,389.439|-64.1308
281.76|-182.525,374.77|-97.2386
251.74|193.191,354.372|-127.159
-19.0414|-200,328.913|-152.91
-282.308|182.278,299.228|-173.649
-186.649|-200,266.289|-188.695
-86.5564|200,231.178|-197.555
13.5364|-200,194.114|-200
113.629|200,-310.487|-166.711
213.606|-199.537,-399.716|10.6555
256.451|191.868,-292.121|177.521
60.7087|-200,329.777|152.177
-139.095|200,378.665|-89.8823
-319.213|-160.588,144.334|-200
62.5552|200,-392.986|52.5
375.62|-95.6959,398.946|-20.5047
-378.762|89.6894,-387.666|69.1471
-27.111|-200,12.0925|-200
-27.111|-200,392.053|55.8174
-27.111|-200,-384.709|76.6988
360.508|119.32,-93.7466|-200
-116.995|-200,299.187|173.672
-116.995|-200,212.851|-199.587
-116.995|-200,64.3101|200
-399.7|-10.9467,-84.3846|-200
-148.721|200,-84.3846|-200
-148.721|200,-84.3846|-200
-148.721|200,-232.115|197.405
297.198|-174.793,-245.206|-194.824
243.882|195.126,-67.6384|200
-18.1459|-200,112.257|-200
-273.995|185.808,283.863|181.568
-206.835|-199.883,102.946|-200
-108.653|200,-86.7099|200
-108.653|200,-270.313|-187.233
-108.653|200,-160.748|200
-10.4416|-200,-47.5716|-200
87.7695|200,65.6051|200
185.981|-200,65.6051|200
280.083|183.267,65.6051|200
27.2348|-200,178.782|-200
-234.657|196.974,178.782|-200
-320.058|-159.957,178.782|-200
281.331|182.716,286.405|180.372
350.175|-132.089,16.1495|-200
-388.286|-67.4412,-261.229|190.397
-115.343|200,-259.498|-190.945
277.107|-184.538,12.9633|200
278.581|183.916,280.075|-183.27
-119.555|-200,196.301|200
-390.412|61.1819,108.869|-200
313.973|164.348,21.4372|200
371.636|-102.67,-65.9945|-200
33.0896|-200,-153.426|200
-383.158|-80.331,-239.976|-195.964
-245.413|194.776,-164.943|200
262.381|-190.023,-89.1453|-200
355.8|125.404,-13.3477|200
-386.82|71.4023,62.4499|-200
-124.663|-200,138.247|200
254.422|192.453,213.953|-199.513
330.275|-151.751,232.867|197.281
-362.784|116.195,117.535|-200
-96.5337|-200,1.41265|200
-96.5337|-200,1.41265|200
-96.5337|-200,1.41265|200
237.326|196.486,-114.709|-200
348.464|-134.009,-114.709|-200
-397.024|34.3723,-114.709|-200
389.774|-63.1337,-230.167|197.712
-70.8417|200,-222.122|-198.773
-399.629|12.1752,-123.706|200
-115.161|-200,-24.9876|-200
341.92|140.921,73.731|200
83.8713|-200,73.731|200
83.8713|-200,73.731|200
83.8713|-200,172.45|-200
-218.263|199.164,172.45|-200
-370.579|-104.417,172.45|-200
367.221|-109.714,268.209|188.009
231.232|197.546,78.8155|-200
-124.736|-200,-116.431|200
-380.656|85.8113,-298.905|-173.833
393.681|49.8755,-53.7263|200
-13.4647|-200,208.495|-199.819
-13.4647|-200,371.818|102.366
-13.4647|-200,-371.518|102.867
-396.86|35.2992,-209.708|-199.764
299.788|173.327,56.8684|200
385.17|-75.579,304.108|-170.767
137.354|-200,98.2457|200
-389.336|64.4351,-123.848|-200
381.329|-84.3794,-322.622|158
29.8934|200,55.8038|-200
-362.077|-117.18,373.105|100.174
130.967|200,-360.108|-119.855
130.967|200,-151.854|200
130.967|200,108.582|-200
398|28.2155,108.582|-200
199.433|-200,108.582|-200
-148.601|200,334.923|147.634
-148.601|200,-106.534|-200
-148.601|200,-397.829|29.3868
-386.181|-73.0535,39.3017|200
332.122|-150.146,39.3017|200
338.2|144.571,39.3017|200
-374.516|97.6944,389.745|63.2213
-218.289|-199.162,227.574|-198.09
96.3842|200,-209.271|199.785
354.332|-127.207,-399.79|-9.15798
-262.016|190.142,-190.73|-200
-389.465|-64.0534,242.459|195.441
-110.9|-200,370.429|-104.661
394.486|46.6405,-330.906|-151.207
-397.191|33.4039,-352.656|129.214
231.037|-197.577,275.947|185.019
384.314|-77.6434,394.951|44.6546
363.055|115.814,348.909|-133.514
186.558|200,173.233|-200
-386.137|-73.1642,-399.303|16.6802
330.433|151.615,321.465|158.891
278.316|-184.029,342.621|-140.211
-256.95|191.72,-372.103|-101.886
-373.608|-99.2991,-227.89|198.046
249.567|-193.76,126.895|-200
373.704|-99.1311,380.998|85.0871
392.035|55.8807,-391.648|57.1926
293.394|176.855,-28.4081|-200
21.6902|200,379.275|88.6602
-301.225|172.492,-345.309|-137.424
-397.793|29.6309,-219.341|199.063
-347.328|-135.257,26.3844|-200
-186.348|-200,265.825|188.857
396.984|34.6044,219.511|-199.046
-390.198|61.8438,89.8106|200
-2.61916|-200,89.8106|200
-2.61916|-200,89.8106|200
-2.61916|-200,-40.2|-200
389.235|64.7319,-170.211|200
-399.553|13.3603,-170.211|200
345.92|-136.775,-170.211|200
257.366|191.596,-292.8|-177.167
-184.145|-200,-5.62738|200
-399.81|-8.71726,284.626|-181.214
-202.223|199.988,198.161|200
193.684|-200,107.434|-200
193.684|-200,16.7078|200
193.684|-200,-74.0187|-200
399.829|8.27017,-164.745|200
175.77|200,-253.8|-192.628
-274.743|-185.509,-122.962|200
-309.096|167.625,10.3322|-200
297.386|-174.688,143.626|200
310.969|166.391,272.4|-186.435
-344.947|-137.805,100.215|200
-167.035|200,-78.014|-200
43.6335|-200,-253.051|192.836
43.6335|-200,-206.585|-199.892
43.6335|-200,-132.317|200
250.842|193.43,-58.0296|-200
239.425|-196.076,16.2579|200
59.6185|200,90.5454|-200
-121.969|-200,164.833|200
-293.116|177.001,238.428|-196.273
-65.8816|-200,156.836|200
175.216|200,74.476|-200
364.408|-113.886,-7.88386|200
-398.109|27.4382,-90.2437|-200
394.709|-45.7004,-172.604|200
-233.277|197.212,-253.465|-192.721
-389.135|65.0237,-115.354|200
-347.51|-135.058,25.3164|-200
-132.391|-200,165.987|200
395.85|-40.5305,297.695|-174.516
111.046|200,-6.72241|200
-317.448|-161.883,-306.757|-169.124
-170.463|200,-131.342|200
-7.99588|-200,58.7466|-200
154.471|200,246.258|194.577
304.874|-170.298,237.192|-196.511
-18.6863|200,70.8218|200
-327.839|-153.809,-97.0122|-200
-48.2451|200,-260.866|190.513
260.457|-190.644,-173.05|-200
280.868|182.922,-83.1018|200
-96.3755|-200,6.84678|-200
-379.767|87.6573,96.7954|200
399.99|-2.02901,186.744|-200
-384.913|-76.2058,273.542|185.988
-48.6088|200,46.4008|-200
352.484|-129.417,-188.986|200
-23.1706|200,-369.319|-106.447
-370.487|-104.567,395.458|-42.3804
309.494|167.365,-37.2323|200
319.876|-160.093,-37.2323|200
-386.692|71.7372,-37.2323|200
224.004|-198.554,-399.974|-3.19737
385.991|-73.5348,-20.6962|-200
353.294|128.457,399.199|17.8784
148.66|200,-190.343|200
-399.83|8.23841,-320.121|159.909
68.0544|-200,-394.397|47.0073
392.059|-55.7974,-379.913|-87.3574
222.93|198.681,-283.282|-181.835
-201.252|-199.996,-69.724|-200
-399.813|-8.63629,308.823|-167.802
-218.503|199.142,399.979|-2.89879
270.895|-187.013,313.641|164.577
331.65|150.56,3.82806|200
-383.324|-79.9509,-315.143|163.53
116.438|200,-399.824|-8.38834
395.125|43.8883,-301.032|-172.605
222.783|-198.698,263.891|-189.52
-225.587|198.357,372.007|-102.047
-393.091|-52.1136,396.955|34.7668
-90.1404|-200,326.673|154.771
396.447|37.5294,194.971|200
-375.049|96.7366,-399.954|-4.31104
-155.186|-200,244.466|-194.994
141.188|200,389.67|-63.4442
368.825|-107.229,352.84|128.996
-394.541|46.4087,162.996|200
328.281|-153.44,-399.726|-10.4655
298.178|174.244,275.526|-185.191
-344.314|-138.469,399.054|19.4331
-161.904|200,238.282|196.302
53.6666|-200,-374.344|-98.0003
53.6666|-200,84.1505|200
53.6666|-200,399.931|-5.24279
263.636|189.606,62.8431|-200
203.436|-199.97,-390.224|61.7654
127.478|200,398.935|-20.6126
51.5148|-200,-390.603|60.5853
-24.4485|200,71.9537|-200
-100.412|-200,399.396|-15.5326
-176.375|200,126.52|200
-251.079|-193.367,-324.679|-156.381
-116.852|200,-155.208|200
19.6385|-200,35.0054|-200
156.129|200,224.502|198.493
285.989|-180.571,299.256|-173.633
47.3748|200,-117.892|200
-203.403|-199.971,-394.267|-47.545
-375.345|96.1989,201.818|-199.992
355.054|126.326,300.766|-172.761
277.462|-184.39,373.182|-100.04
-315.284|163.431,399.998|-0.978431
-247.01|-194.397,374.152|98.3409
61.0299|200,302.452|171.766
333.531|-148.895,203.774|199.964
-25.0082|200,-392.677|53.6261
-357.373|-123.425,-138.086|-200
160.337|200,255.539|192.134
160.337|200,333.434|-148.981
160.337|200,-374.808|97.1704
392.256|55.1154,-7.46092|-200
274.847|-185.467,370.002|105.353
-391.552|57.5132,-269.575|-187.508
359.091|-121.203,-387.604|69.3153
182.595|200,-104.278|200
182.595|200,397.512|-31.4513
182.595|200,-360.01|-119.987
-37.1986|-200,-225.285|198.395
-253.055|192.835,79.9935|-200
-239.622|-196.036,341.53|141.312
-56.365|200,-105.317|-200
128.726|-200,-398.557|23.9826
301.118|172.555,4.34614|200
31.3364|-200,398.029|28.0107
31.3364|-200,123.399|-200
31.3364|-200,123.399|-200
-253.118|192.817,123.399|-200
-286.459|-180.346,-314.772|163.791
109.071|200,-184.225|-200
388.004|-68.2247,-40.6855|200
-359.732|-120.356,102.854|-200
-245.047|194.861,244.588|194.966
164.217|-200,202.917|-199.979
164.217|-200,148.877|200
164.217|-200,148.877|200
398.32|25.8654,148.877|200
85.6226|200,94.8339|-200
85.6226|200,40.7908|200
85.6226|200,-13.2523|-200
-389.319|-64.4847,-67.2954|200
392.98|52.5233,-121.339|-200
-228.67|-197.934,-175.382|200
-386.228|-72.9316,-229.136|-197.866
-355.462|125.824,-165.7|200
-160.489|200,-101.924|-200
399.572|-13.0712,-38.147|200
-292.783|-177.176,25.6295|-200
-388.424|67.0545,89.4061|200
-152.834|200,153.183|-200
374.561|-97.6133,216.846|199.289
-162.551|200,212.638|-199.6
-384.598|76.9638,157.542|200
-317.215|-162.051,102.39|-200
349.392|-132.974,47.2388|200
328.59|153.182,-7.91272|-200
-383.007|80.6755,-63.0643|200
-174.535|-200,-118.216|-200
122.564|200,-173.367|200
360.123|-119.836,-228.243|-197.996
-343.433|139.381,-169.573|200
-207.279|-199.868,-110.609|-200
-11.9133|200,-51.6442|200
-11.9133|200,7.32032|-200
-11.9133|200,66.2849|200
183.517|-200,125.249|-200
347.32|135.266,184.214|200
-348.492|-133.978,242.505|-195.431
-178.053|200,127.958|200
26.078|-200,12.0865|-200
229.121|197.869,-103.784|200
296.827|-174.999,-219.383|-199.059
-114.134|200,-253.871|192.608
-114.134|200,-60.5184|-200
-114.134|200,136.474|200
-392.556|-54.0582,315.412|-163.34
277.277|-184.468,-38.7704|200
399.998|0.778432,-355.878|-125.307
275.838|185.064,167.588|200
-393.837|49.2658,390.273|61.6122
-96.6038|-200,292.489|-177.33
326.554|154.868,-398.772|-22.1329
133.931|-200,69.8608|200
-83.1902|200,394.624|46.0616
-288.976|-179.118,202.331|-199.986
-117.493|200,-125.568|200
63.435|-200,-372.497|-101.216
242.315|195.472,396.644|36.4841
241.692|-195.606,-366.927|-110.161
64.2675|200,-157.509|200
64.2675|200,112.567|-200
64.2675|200,342.415|140.421
-115.128|-200,-177.431|-200
-285.841|180.641,-177.431|-200
-94.5766|-200,-177.431|-200
106.415|200,-390.675|-60.3571
106.415|200,-297.365|174.7
106.415|200,393.15|51.8967
295.272|-175.85,94.6796|-200
76.3702|200,-326.17|155.181
-156.597|-200,-134.213|-200
-350.077|132.201,81.9677|200
326.773|-154.689,287.306|-179.938
255.302|192.202,123.08|200
-120.098|-200,-49.8175|-200
-384.78|76.5277,-222.182|198.766
376.918|93.2744,-292.812|-177.161
166.478|-200,79.8702|200
-120.543|200,374.34|-98.0085
-120.543|200,-382.619|81.5501
-120.543|200,22.7404|-200
-354.865|-126.558,391.884|56.3959
305.548|169.881,-381.617|83.7572
317.822|-161.611,-121.511|-200
-378.202|90.797,-121.511|-200
51.8447|-200,-121.511|-200
397.173|33.5104,241.215|195.707
-227.077|198.159,351.724|-130.306
-359.504|120.659,-399.981|2.77392
-398.05|-27.8577,362.852|116.101
-320.029|-159.978,198.453|-200
-163.291|-200,-9.58005|200
391.286|-58.3924,-217.227|-199.257
160.864|200,-328.912|152.91
-195.837|-200,300.992|-172.628
-398.182|26.9064,312.858|165.115
-129.715|200,-357.261|-123.567
-129.715|200,-113.53|200
-129.715|200,187.775|-200
362.125|-117.113,388.588|66.5912
-31.2447|200,-141.983|200
-382.054|-82.8027,-328.765|153.035
392.478|54.3346,-399.878|-6.99542
-242.185|-195.5,-317.751|-161.662
-396.654|-36.4334,-102.638|-200
-309.421|167.413,362.078|-117.178
317.29|161.997,322.604|158.013
391.539|-57.5585,-382.808|81.124
208.562|-199.817,-179.163|-200
-331.742|150.48,110.595|200
-165.625|-200,350.713|-131.474
23.9639|200,-255.104|192.259
213.341|-199.555,-393.874|-49.1193
326.527|154.89,-149.3|-200
-278.923|-183.769,362.925|115.998
-357.242|123.592,-24.1333|-200
363.156|115.673,-378.822|89.5704
259.362|-190.987,374.353|-97.9857
-253.956|192.584,73.1073|200
-372.342|-101.48,73.1073|200
281.224|-182.764,73.1073|200
399.528|-13.7333,-302.622|-171.664
305.498|169.912,-193.017|200
-291.019|178.089,-75.0553|-200
-398.416|25.1227,42.9064|200
-332.533|-149.783,160.868|-200
-125.705|-200,274.576|185.576
384.996|-76.0042,75.0902|-200
214.993|199.437,-131.858|200
-123.529|-200,-318.636|-161.014
-375.035|96.7622,47.5886|200
399.498|-14.1649,365.054|-112.948
-399.47|-14.551,-287.297|179.942
374.048|98.5249,-361.808|-117.551
129.792|-200,314.252|-164.154
-197.492|200,384.907|76.2184
-197.492|200,159.909|200
-197.492|200,-376.07|-94.8652
-395.532|-42.0406,182.864|200
-77.897|-200,373.547|99.4057
396.728|36.0304,363.907|-114.605
-365.753|111.919,159.322|-200
-202.499|-199.984,-397.364|32.3635
19.7634|200,380.015|87.1469
19.7634|200,118.117|-200
19.7634|200,-242.537|195.424
239.81|-195.998,-348.383|-134.099
280.31|183.167,398.445|24.8909
-55.7614|-200,-399.881|-6.89929
-348.592|133.867,399.322|16.4493
123.206|-200,-378.799|-89.6147
399.957|-4.15845,-93.9796|200
135.5|200,282.074|-182.384
-325.396|-155.807,256.333|191.902
-157.031|200,-35.2875|-200
32.2462|-200,-308.925|167.736
221|198.894,-102.183|-200
307.65|-168.557,122.699|200
-161.724|200,323.557|-157.269
-399.561|13.2481,-59.0896|200
-191.718|-200,-375.677|-95.5909
198.142|200,377.044|93.0347
399.878|-6.98314,44.3661|-200
183.497|-200,-342.272|140.565
-255.966|192.01,-34.9108|-200
-348.12|-134.389,-34.9108|-200
400|0.234987,-34.9108|-200
-349.163|133.23,301.251|172.477
-252.368|-193.022,174.718|-200
167.381|200,38.8345|200
167.381|200,-97.0487|-200
167.381|200,-232.054|197.415
399.266|-17.1208,-234.244|-197.047
120.807|-200,-94.4275|200
-362.098|117.151,46.4286|-200
37.7969|-200,187.285|200
385.195|75.5167,315.268|-163.442
-399.9|-6.31765,-133.346|200
396.217|-38.7159,-399.395|-15.5387
-245.488|194.758,-81.1895|-200
-396.603|36.703,386.852|71.3195
-312.692|-165.228,-379.973|-87.2345
292.284|-177.436,-38.1159|200
399.161|-18.3051,353.09|-128.699
323.082|157.642,-37.6934|200
65.7311|200,-379.743|-87.7071
-350.732|131.453,385.675|74.3291
-357.533|-123.22,-58.8241|-200
-8.49954|-200,-399.73|10.3948
360.944|-118.731,-6.16261|200
339.088|143.716,399.953|4.34955
-295.544|175.703,19.0859|-200
-399.942|-4.81694,-398.546|24.0752
-286.972|-180.1,256.03|191.991
363.034|-115.845,395.322|43.0048
292.285|177.436,331.483|-150.705
-380.03|-87.1164,64.1144|-200
113.974|200,-358.403|-122.101
396.803|35.6189,-338.354|144.423
203.864|-199.963,312.494|165.364
-150.379|200,391.896|-56.3538
-150.379|200,205.218|-199.932
-150.379|200,-318.571|161.061
-387.986|-68.273,-206.181|-199.904
302.055|-172.002,-53.9795|200
388.94|65.5885,98.2583|-200
170.671|200,248.248|194.093
-356.443|-124.601,199.28|-200
-36.8674|200,149.579|200
318.59|-161.047,99.8768|-200
125.156|200,50.175|200
-89.1475|-200,0.473294|-200
-89.1475|-200,-49.2284|200
-89.1475|-200,-98.9302|-200
-291.562|177.81,-148.632|200
-104.743|-200,-198.334|-200
93.0491|200,-247.33|194.319
282.12|-182.363,-101.509|-200
126.286|200,46.4128|200
-36.7365|-200,194.334|-200
-199.759|200,325.794|155.486
-339.629|-143.192,-231.571|-197.492
331.831|150.402,-399.885|6.76873
231.493|-197.505,-218.139|199.176
-38.7247|200,294.425|-176.306
-294.503|-176.264,278.253|184.056
-141.043|200,-157.926|-200
22.0985|-200,-157.926|-200
185.24|200,-157.926|-200
329.108|-152.745,-399.591|12.7857
-235.282|196.863,-122.381|200
-399.504|-14.0701,357.076|-123.802
-207.303|-199.867,3.1487|200
260.61|190.595,-354.404|-127.119
347.194|-135.403,88.0983|200
-399.986|-2.36844,397.885|-29.0093
335.917|146.72,-77.2245|-200
295.926|-175.494,-377.646|-91.8788
-348.923|133.499,-304.891|170.288
-141.706|-200,397.607|30.8474
106.83|200,-19.3345|-200
327.064|-154.45,-399.719|10.6068
-53.4783|200,48.8162|200
-374.024|-98.5671,392.299|54.9649
364.113|114.31,212.692|-199.597
132.634|-200,-153.237|200
-161.953|200,-390.926|-59.5581
-377.343|-92.4639,219.615|-199.036
386.117|-73.2161,335.43|-147.169
107.043|200,396.723|-36.0542
-283.075|-181.93,378.819|89.5755
-260.43|190.652,288.925|179.143
52.0005|-200,138.672|200
332.071|150.19,-350.121|132.151
-6.13309|-200,-352.934|-128.884
-338.569|144.217,89.1908|-200
-9.525|-200,314.911|-163.693
328.311|153.415,399.713|-10.7102
70.5301|-200,331.759|150.465
-220.464|198.95,150.404|200
-363.016|-115.869,-393.254|51.5046
394.317|-47.34,-142.831|-200
6.87988|200,-142.831|-200
-392.33|-54.856,-142.831|-200
389.272|-64.6234,249.303|193.828
37.94|200,346.126|-136.555
-369.191|-106.651,-398.055|27.8217
219.031|199.092,398.848|-21.4337
389.453|64.0917,-374.442|97.827
335.995|-146.647,-122.759|-200
30.8313|-200,214.802|199.452
-348.808|-133.627,384.998|-75.9975
-365.029|112.984,-126.678|-200
-88.0944|200,-126.678|-200
394.027|48.5121,-126.678|-200
149.974|-200,-332.019|-150.236
-239.065|196.148,-398.644|23.2502
-364.173|-114.224,-293.757|176.662
376.859|-93.3864,288.371|179.417
188.373|200,396.464|37.4445
188.373|200,348.17|-134.334
188.373|200,179.836|-200
-68.6057|-200,-398.361|25.5495
-306.038|169.575,364.188|114.203
-81.1713|-200,204.19|-199.956
162.208|200,-21.0834|200
162.208|200,-243.664|-195.175
162.208|200,-271.507|186.78
358.283|-122.256,27.7393|-200
-374.682|97.3972,311.129|166.284
-39.7515|-200,101.514|-200
-39.7515|-200,-127.396|200
-39.7515|-200,-329.212|-152.657
342.982|139.843,101.789|200
27.4592|-200,395.836|-40.5976
-312.042|165.67,-164.957|-200
-139.456|-200,-164.957|-200
49.3333|200,-164.957|-200
236.534|-196.635,-328.035|-153.646
264.968|189.154,-399.836|-8.09809
5.46822|-200,-340.047|142.782
-255.941|192.017,-187.082|200
-264.008|-189.481,399.071|-19.2544
20.2067|200,-340.376|-142.459
294.7|-176.159,-291.876|177.648
154.777|200,341.877|-140.965
5.98637|-200,167.696|200
-142.804|200,-36.642|-200
-284.61|-181.221,-36.642|-200
-67.6011|200,-36.642|-200
160.098|-200,-239.017|196.157
349.544|132.803,-269.619|-187.492
-328.617|-153.159,13.7854|200
-249.081|193.884,290.504|-178.351
97.1944|-200,170.267|200
97.1944|-200,43.1499|-200
97.1944|-200,-83.9671|200
368.178|108.241,-210.988|-199.698
-364.542|-113.693,-287.082|180.046
-123.274|200,35.1283|-200
184.374|-200,332.046|150.213
388.847|65.8538,12.9|-200
-149.72|200,-317.106|162.13
-324.606|156.44,-113.571|-200
-399.83|8.23526,111.248|200
-337.056|-145.656,315.449|-163.315
-176.563|-200,-2.33622|200
399.943|-4.79202,-318.315|-161.25
-121.225|200,-98.1344|200
-372.462|101.277,145.664|-200
-339.369|-143.445,348.928|133.494
194.252|-200,-302.497|-171.739
246.923|-194.418,-321.197|159.095
295.76|-175.585,383.875|-78.677
338.038|-144.725,-147.043|200
370.862|-103.953,-385.464|74.8532
391.982|-56.061,-303.983|-170.844
399.953|-4.329,390.519|-60.8495
394.229|47.6996,124.385|200
375.201|96.461,-270.588|-187.129
344.173|138.615,-297.413|174.673
303.27|171.276,218.184|-199.172
255.293|192.205,399.816|-8.58658
203.53|199.969,235.203|196.877
