p0,p1
-201.659|199.993,194.251|200
-326.137|155.208,-398.845|21.4625
-395.429|42.5169,-0.530004|-200
-379.218|-88.7755,398.784|22.018
-284.597|-181.227,-204.494|199.95
-96.8654|-200,-319.604|160.296
322.543|-158.06,-390.393|61.2411
395.674|41.3702,-390.627|-60.5078
248.081|194.134,-320.221|-159.834
-399.167|-18.2359,-205.263|-199.931
359.376|-120.827,398.509|-24.3769
221.237|198.869,13.2096|200
-63.9022|-200,-396.268|-38.457
-320.815|159.385,340.309|-142.525
-32.2221|-200,300.793|172.745
276.705|184.706,-371.257|-103.3
234.297|-197.037,-8.06621|200
39.9006|200,-8.06621|200
39.9006|200,-8.06621|200
39.9006|200,365.642|-112.083
-155.946|-200,-213.07|199.572
-155.946|-200,-385.239|75.4101
-155.946|-200,-348.744|-133.698
-328.788|153.015,-117.497|-200
158.622|-200,392.646|-53.7352
398.243|-26.4499,157.432|200
216.137|199.348,157.432|200
-227.485|-198.102,157.432|200
-390.835|59.8492,-212.98|-199.578
-57.9336|200,-392.725|53.4527
399.868|7.26659,-57.4225|200
-6.99729|-200,400|0.0787523
-6.99729|-200,-56.8023|-200
-6.99729|-200,-392.908|-52.786
-400|0.204642,-211.223|199.685
-5.80833|200,150.853|-200
399.92|-5.64294,389.627|63.5746
-44.0051|-200,-267.206|188.37
-394.509|-46.5445,-397.211|33.2817
-191.701|200,-325.302|-155.882
-191.701|200,-26.5517|-200
-191.701|200,336.233|-146.426
137.339|-200,385.433|74.9318
137.339|-200,196.206|200
137.339|-200,-332.737|-149.602
377.566|92.0344,-157.473|200
-396.975|34.6511,43.0574|-200
125.356|-200,241.414|195.665
380.957|-85.1745,259.805|-190.849
311.84|165.806,14.8729|200
-380.734|85.6467,14.8729|200
-197.444|-200,14.8729|200
59.2217|200,-233.973|-197.094
59.2217|200,-314.167|164.213
59.2217|200,241.988|-195.543
299.046|-173.753,395.519|42.0984
111.209|200,150.81|200
-89.8194|-200,-355.006|-126.385
-282.009|182.413,-34.8465|200
-129.577|-200,319.011|-160.737
29.8653|200,122.457|200
189.307|-200,-95.4897|-200
329.71|152.234,-95.4897|-200
-249.271|-193.836,-95.4897|-200
-393.611|50.1476,-299.114|173.714
-137.674|200,-76.0695|-200
373.583|-99.3433,162.663|200
-161.661|200,356.416|-124.635
-385.474|74.8289,-367.352|109.514
-312.843|-165.125,-93.2626|-200
365.588|-112.163,254.304|192.487
272.533|186.384,316.96|-162.236
-321.548|-158.827,-301.16|172.53
-225.762|198.334,-305.889|-169.669
2.4979|-200,329.754|152.197
230.382|197.679,217.226|-199.257
310.141|-166.94,8.18075|200
-204.081|199.958,-201.251|-199.996
-392.748|53.3691,-362.206|117.002
-306.346|-169.383,399.981|2.73712
362.872|-116.072,-351.141|-130.982
286.218|180.462,-243.458|195.221
-363.754|-114.825,129.874|-200
-55.928|200,386.654|71.8357
305.661|-169.811,-351.68|130.358
175.24|200,-278.036|-184.148
34.1727|-200,309.517|167.35
-106.895|200,263.848|-189.535
-246.066|-194.623,-119.294|200
-196.166|200,-386.658|-71.825
-145.585|-200,362.848|-116.106
-95.0048|200,233.702|197.14
-44.4245|-200,-121.481|-200
6.15594|200,-379.406|88.3935
56.7363|-200,397.674|30.4162
107.317|200,-179.519|-200
157.897|-200,-350.465|-131.758
208.455|199.821,-394.989|44.4902
224.876|-198.447,-278.423|183.983
140.699|200,341.608|141.234
56.1943|-200,359.012|-121.306
-28.3109|200,-26.7739|-200
-112.816|-200,-348.051|-134.465
-197.321|200,-372.852|100.608
-278.441|-183.976,-145.077|200
-16.9576|200,396.661|-36.3924
250.945|-193.403,-386.573|-72.046
282.101|182.371,-57.9857|200
-83.7318|-200,347.165|-135.435
-372.277|101.59,18.9591|200
375.545|-95.8321,-327.5|-154.09
52.3928|200,-81.077|200
-331.082|-151.054,197.296|-200
-90.9408|200,386.59|72.0008
-90.9408|200,-169.437|200
-90.9408|200,-308.558|167.974
182.682|-200,-390.945|59.4968
379.638|87.9224,-384.758|-76.5793
-350.13|132.14,-292.867|-177.132
-291.187|-178.003,-124.994|-200
356.884|124.046,346.904|-135.717
100.756|-200,361.215|118.363
-214.964|199.439,38.6988|200
-379.411|-88.3845,-375.979|95.0341
287.561|-179.814,-279.816|-183.383
399.626|12.2186,370.352|104.786
264.977|189.151,-2.17343|-200
-399.548|13.4431,-371.792|102.408
115.271|-200,299.939|-173.24
378.077|-91.0412,342.499|140.336
318.324|161.243,-393.141|51.9292
-365.811|111.834,-58.2222|-200
-269.245|-187.63,362.556|116.514
308.51|168.004,-101.226|-200
262.464|-189.995,-399.962|3.87653
-110.581|200,-87.2039|200
-110.581|200,377.796|-91.5901
-110.581|200,-284.075|181.47
-381.743|-83.4836,-374.221|-98.219
395.587|-41.7828,56.0001|-200
-75.1101|200,352.013|-129.97
-396.972|34.6691,369.999|105.358
-179.308|-200,136.359|200
191.706|200,-399.278|-16.9738
398.659|-23.1217,304.399|-170.59
135.194|-200,374.877|97.0471
-353.566|128.13,42.1089|200
-34.5331|-200,-388.526|66.7688
-34.5331|-200,-210.081|-199.746
-34.5331|-200,120.414|200
317.371|161.938,120.414|200
127.562|-200,120.414|200
-82.2076|200,371.221|-103.361
-82.2076|200,-391.904|56.3276
-82.2076|200,257.411|-191.583
-282.611|-182.141,399.897|6.41806
